column_name,type,is_primary_key,foreign_key
id,INTEGER,True,
player_id,INTEGER,False,
season,INTEGER,False,
league,VARCHAR(16),False,
level,VARCHAR(16),False,
source,VARCHAR(16),False,
team_code,VARCHAR(8),False,
games,INTEGER,False,
games_started,INTEGER,False,
wins,INTEGER,False,
losses,INTEGER,False,
saves,INTEGER,False,
holds,INTEGER,False,
innings_pitched,FLOAT,False,
innings_outs,INTEGER,False,
hits_allowed,INTEGER,False,
runs_allowed,INTEGER,False,
earned_runs,INTEGER,False,
home_runs_allowed,INTEGER,False,
walks_allowed,INTEGER,False,
intentional_walks,INTEGER,False,
hit_batters,INTEGER,False,
strikeouts,INTEGER,False,
wild_pitches,INTEGER,False,
balks,INTEGER,False,
era,FLOAT,False,
whip,FLOAT,False,
fip,FLOAT,False,
k_per_nine,FLOAT,False,
bb_per_nine,FLOAT,False,
kbb,FLOAT,False,
complete_games,INTEGER,False,
shutouts,INTEGER,False,
quality_starts,INTEGER,False,
blown_saves,INTEGER,False,
tbf,INTEGER,False,
np,INTEGER,False,
avg_against,FLOAT,False,
doubles_allowed,INTEGER,False,
triples_allowed,INTEGER,False,
sacrifices_allowed,INTEGER,False,
sacrifice_flies_allowed,INTEGER,False,
extra_stats,JSON,False,
created_at,DATETIME,False,
updated_at,DATETIME,False,
